col1,Var_prob,Pred_Var_Type_05,Per_prob,Pred_VarPer_Type,DSCT,EB,ROTVAR,RRLYR,Pred_VarPerSub_Type,CV,QSO,SNe,Pred_VarNonPerSub_Type,Pred_class,internalID,ID,raMedian,decMedian,X,Y,spCl,spSubCl,Var_Type,Var_subType,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodGLS,PeriodLS,PeriodWMCC,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC,g-i,g-r,r-i,main_id,ra,dec,coo_err_maj,coo_err_min,coo_err_angle,nbref,ra_sexa,dec_sexa,main_type,other_types,radvel,redshift,sp_type,morph_type,plx,pmra,pmdec,size_maj,size_min,size_angle,B,V,R_x,J,H,K,u,g,r_xa,i,z,angDist
Blind15A_05_N6_0303_0856,0.566526931126,Var,0.00247011516945,NonPer,,,,,,0.0976770032724,0.902322996728,0.0,QSO,QSO,Blind15A_05_N6_0303_0856,HiTS091539+014025,138.9129057,1.67386025096,303.455580968,856.179011431,,,,,0.0912529842712,0.627421207937,2.0,0.285714285714,22.7978517171,-0.0534243181257,0.880810442451,0.0,63.222233455,0.139833078462,0.206296481496,0.460314771798,0.620125406972,0.843122636003,0.0525221095264,0.0336994592246,0.0177470453854,0.0386577763511,0.0,1.00002145386,2.75011780044,1.15853010286,0.0371840897169,0.0149331291984,0.0188658167782,0.00530478919428,0.0,-2.49406357341,0.16414877379,-1.26546626791,0.023681857777,0.00140182393217,0.0145804893336,0.0115039756931,0.0,-0.247713876433,-1.51728539283,-1.7705374814,-0.0445882624678,-2.21442208397E-4,0.925987969898,20.0805858579,0.00244725568471,0.0346701091857,0.321428571429,-0.1,0.00577805186986,0.0074994127846,0.892368317929,0.0334847981275,0.0334896175338,0.424154821049,0.30785173535,0.7201859564,0.0682504833222,0.33599952127,-0.595768082847,0.741213000016,0.156803223512,0.049142327893,0.803167197473,0.784511014859,1.68402261157,1.22174666014,0.462275951434,SDSS J091539.03+014024.8,138.912658,1.673575,0.038,0.037,0.0,2,"09 15 39.038  ","+01 40 24.87  ",Galaxy,G,60095.944,0.22533,,,,,,,,,,,,,,,22.261,20.057,18.7,18.17,17.85,1.359161
Blind15A_05_S29_1458_0782,0.699068408333,Var,0.213010973976,NonPer,,,,,,0.05,0.95,0.0,QSO,QSO,Blind15A_05_S29_1458_0782,HiTS091153+023434,137.97497177,2.5762227117,1458.82586566,782.412490064,,,,,0.0423712366557,0.976115019781,3.0,0.214285714286,11.5985955096,-0.0197375413667,1.6590833209,0.0,82.5215290413,0.169567595502,0.424003448218,0.51954248942,0.731440126991,0.964597190287,0.0320937208649,0.0105103022113,0.00830602217984,0.010498514383,0.0,-0.828295079777,0.692957642224,-0.708253267171,0.017785195091,0.0111858126594,0.0070395717321,0.00558522690484,0.0,0.372942045028,0.390066781046,1.09654558774,0.0142242333782,0.00813691117007,0.0102357377543,0.00841163826869,0.0,1.23136804661,0.0546365847426,-1.00452748853,-0.0259727192811,-0.00134012107687,0.720801742098,19.2430363559,0.00143883703377,0.0215824972304,0.178571428571,-0.0333333333333,0.00288468939737,0.00435365955685,7.65093415739,7.51064022,0.00473956099325,0.19066566806,0.391922823349,0.69262615239,0.0432430380393,0.350390688756,-0.442826577061,0.875979000019,-0.833906598905,0.027687593351,0.845303344076,0.837982269149,1.24211743848,0.841382613573,0.400734824906,SDSS J091153.96+023433.4,137.974871,2.575961,0.043,0.042,90.0,2,"09 11 53.969  ","+02 34 33.46  ",Galaxy,G,59726.928,0.22376,,,,,,,,,,,,,,,20.42,19.3,18.365,17.892,17.58,1.009182
Blind15A_14_S8_0446_1355,0.833333333333,Var,0.381643988386,NonPer,,,,,,0.075,0.925,0.0,QSO,QSO,Blind15A_14_S8_0446_1355,HiTS092404-000020,141.017094164,-0.00564189751766,446.003725218,1355.36849027,,,,,0.0515301725105,0.999422925675,7.0,0.222222222222,1.05759685625,0.0179167819039,17.4005164329,0.0,14.6234284807,0.358311183717,0.437249364755,0.533736331204,0.635712232062,0.78924992092,0.045571480748,0.0268621204616,0.0282726345614,0.00911873459727,0.0,1.89209013768,1.75746019921,0.605627350724,0.0424001781937,0.00595739392081,0.0217053224738,0.0201818225738,0.0,-1.29852898522,0.613122224292,-1.30942424878,0.0311902223863,0.0126971770639,0.00322448217684,0.00559194305855,0.0,0.271809361049,-0.265566845335,2.477754137,0.0604714809712,0.00408573978361,0.356534377915,18.4027314765,0.00179595609093,0.02457370638,0.185185185185,0.133333333333,0.00477798818989,0.00604705085875,16.4721875927,16.6878495333,0.00390533472442,0.0257899418141,0.457551263175,0.730937425487,0.058195650861,0.457551263175,0.390176012872,1.28477049996,-0.880760769948,0.033050497685,0.870108282955,0.838421428215,-0.376607552138,-0.335214690944,-0.0413928611934,2SLAQ J092404.06-000020.6,141.016912,-0.005719,0.049,0.042,0.0,3,"09 24 04.059  ","-00 00 20.59  ",QSO,QSO|QSO|QSO,228561.2947,1.7235,,,,,,,,,19.48,19.37,,19.466,19.294,19.397,19.475,19.35,19.405,19.271,19.276,0.711184
Blind15A_19_N19_1345_1791,0.7,Var,0.370249151193,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,Blind15A_19_N19_1345_1791,HiTS093939-044353,144.914174676,-4.73146242955,1345.76723567,1791.28456521,,,,,0.0529655040508,0.543024421301,6.0,0.296296296296,3.99997703109,0.0167530775121,4.78584689516,0.0,26.1588048624,0.292516472535,0.352322473908,0.468491731538,0.679571878407,0.892926244982,0.0403671003516,0.023227819009,0.0317870227947,0.00627642694449,0.0,2.54301995201,1.76042647483,0.396944885862,0.0382664639539,0.00189839716116,0.017315085087,0.0100519307362,0.0,-1.94793338238,-2.021436214,-0.610000245911,0.0138464884996,0.010546676836,0.00790119937313,0.00816262800487,0.0,1.08934187979,0.837867780161,1.55636227551,0.0256670592023,0.00332884071552,0.501558678457,19.143277655,0.00163929711828,0.0287903623606,0.222222222222,0.0,0.0035686739762,0.00528559687677,17.5904329857,16.6861806667,0.00390533472442,0.104394803235,0.435322526408,0.41690557318,0.0466931030543,0.435322526408,0.138115279449,0.809608799958,-0.807316651182,0.0313815198943,0.844302570808,0.810980889936,0.648399968464,0.280345146765,0.368054821699,GALEX 2736545954666645542,144.914221,-4.731419,,,7.0,1,"09 39 39.413  ","-04 43 53.11  ",Blue,*  |UV |Q?,,,,,,,,,,,18.3,,18.5,,,,,,,,,0.226589
Blind15A_23_N26_1886_1994,0.666666666667,Var,0.456886544068,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,Blind15A_23_N26_1886_1994,HiTS094950-030557,147.458947652,-3.09936221069,1886.2241792,1994.26805289,,,,,0.0311301975722,0.484650127607,5.0,0.37037037037,6.67476938018,0.0186561998634,2.65887307113,0.0,60.5526454622,0.24697910193,0.316502343723,0.415656907243,0.50172468218,0.655544979605,0.0644182256125,0.0362856343485,0.019529923155,0.0219954067244,0.0,-1.30622454518,-1.13642399962,-1.23147263952,0.116968402933,0.0662712903481,0.0541818456391,0.0587352112314,0.0,-1.07805990754,1.71947798483,1.03936246645,0.319033873108,0.178692369849,0.139468443373,0.164612061037,0.0,-1.1394648541,1.61486884969,0.931535001754,0.00561216127678,0.00275702152796,0.39029170557,17.7473645609,9.63216959145E-4,0.0131373396848,0.148148148148,0.2,0.00212449993657,0.00361881507686,18.1660563996,75.087963,0.0039071657047,0.116129954404,0.393212744913,0.377983348133,0.024873742597,0.393212744913,0.168003921753,0.202160400004,-0.242891969631,0.0170945625252,0.819091065532,0.779198457365,,0.0283324403498,,NVSS J094950-030607,147.45875,-3.099444,0.5,0.5,90.0,0,"09 49 50.10   ","-03 05 58.0   ",Radio,Rad,,,,,,,,,,,,,,,,,,,,,,0.769606
Blind15A_27_N19_0351_0572,0.930742460581,Var,0.406717577047,NonPer,,,,,,0.075,0.925,0.0,QSO,QSO,Blind15A_27_N19_0351_0572,HiTS100128-001232,150.367006984,-0.209141146544,351.430252597,572.200309283,,,,,0.0735425739049,0.989823378987,2.0,0.259259259259,56.6645492383,-0.0802303422319,0.361785498459,0.0,68.8954558579,0.240155876538,0.343614773065,0.544421016283,0.735084265318,0.827009640161,0.0563105128771,0.0218339742486,0.0151654739065,0.0310819219056,0.0,0.80406185662,-0.242571319791,-0.320844812902,0.0280291490404,0.0100679079379,0.0111364658329,0.0166010943562,0.0,1.72329436167,0.892019730679,0.56132616554,0.0262106511418,0.00758322596931,0.0109842058501,0.00310877778149,0.0,-0.475951887788,-0.654803626624,-1.30408321334,0.0599479389233,0.00339952716245,1.01153309451,20.5004121911,0.00223811994582,0.0321763534674,0.296296296296,0.0666666666667,0.00554590828118,0.00726215468297,1.1549252865,0.0703403266511,0.00760109469867,0.162390994944,0.36885505662,0.549082805882,0.0699992741983,0.366333744605,0.563110616285,0.134701399991,-0.591598827017,0.0458823814225,0.832470857853,0.837030779338,0.265270995557,0.0030230911522,0.262247904405,2SLAQ J100128.03-001233.7,150.366771,-0.209367,0.047,0.046,90.0,3,"10 01 28.025  ","-00 12 33.72  ",QSO,QSO|AGN|QSO,138807.6069,0.6506,,,,,,,,,20.94,20.68,,20.223,19.806,19.561,21.214,20.736,20.629,20.388,20.348,1.175792
Blind15A_28_N4_0536_1569,0.524935998732,Var,0.0691740474886,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,Blind15A_28_N4_0536_1569,HiTS100012-020820,150.050073836,-2.13909843383,536.253640664,1569.30345064,,,,,0.0460081562871,0.942726660719,4.0,0.214285714286,1.50875768825,0.0136637586508,12.6303159706,0.0,27.6741414894,0.133627178581,0.327537638178,0.422030093792,0.504937304009,0.683560597541,0.0606403662939,0.0445162549052,0.0262932981351,0.0286916907352,0.0,1.60713031061,1.63969902788,0.91371932071,0.151347309887,0.101869754414,0.0693354834934,0.0802904406924,0.0,1.6611151542,1.56368568765,0.839292677462,0.300545459454,0.194184366791,0.194936156089,0.103648714858,0.0,2.13525725717,1.44812845761,1.02127570291,-0.0172815610699,-0.00268215440367,0.411968085603,19.0560863257,0.00127940479784,0.0164426890239,0.392857142857,0.1,0.00314524226409,0.00419487166662,0.92969643886,50.058994,0.00390518253046,0.125825548322,0.38083788597,0.609228826577,0.0333576658402,0.38083788597,-0.5860375476,0.202058400013,0.605973327565,0.0243804482731,0.876498929087,0.744376055874,0.844702504237,0.48273464853,0.361967855707,2QZ J100011.9-020822,150.049833,-2.139222,1.0,1.0,90.0,4,"10 00 11.96   ","-02 08 21.2   ",BLLac,BLL|Q? |BLL,,,,,,,,,,,19.42,18.9,,,,,,,,,,0.973412
Blind15A_29_S4_1269_1897,0.866666666667,Var,0.178371000975,NonPer,,,,,,0.025,0.975,0.0,QSO,QSO,Blind15A_29_S4_1269_1897,HiTS095540-040141,148.918433007,-4.02831269778,1269.35547612,1897.41424212,,,,,0.0310778146526,0.999895114887,5.0,0.357142857143,16.0876260049,0.0290144136929,1.13223442273,0.0,53.3796896331,0.16144938944,0.472868595532,0.703933900097,0.839080042037,0.924860716526,0.0304065535639,0.0200930521121,0.0178014847519,0.0211811316624,0.0,2.18821010588,1.90654462608,1.48187899358,0.0426703059471,0.0201691324048,0.0195462318964,0.00662565703098,0.0,-0.15175677558,-0.453462354463,2.12722785088,0.0315420568226,0.00457100766587,0.0105652492469,0.00502704695013,0.0,0.348778535456,2.96202633075,-0.065041427173,-0.0269859249022,-8.43791711342E-4,0.469676877872,18.2149639427,0.00116499888852,0.0164530832615,0.25,-0.1,0.00247513416872,0.0031797395542,23.3653254696,25.029541,0.00390686057737,0.284190912574,0.444653271125,0.594547123034,0.0403610282605,0.444653271125,-0.233870937825,1.1449584999,-1.41115551274,0.0212204127476,0.892748777607,0.838902847929,0.705502016675,0.546823998415,0.15867801826,2dFGRS TGN152Z122,148.918333,-4.028361,,,7.0,1,"09 55 40.40   ","-04 01 42.1   ",Galaxy,G,-59.9645,-2.0E-4,,,,,,,,,18.782,,17.777,,,,,,,,,0.398204
Blind15A_33_N6_1521_2397,0.7,Var,0.409683187528,NonPer,,,,,,0.0,0.975,0.025,QSO,QSO,Blind15A_33_N6_1521_2397,HiTS101121-021239,152.838293053,-2.21098297574,1521.32938956,2397.64141343,,,,,0.0351142386213,0.587116300169,6.0,0.413793103448,0.699014276923,-0.00874138344294,26.5566858928,0.0,12.9246567435,0.219897487944,0.325433509395,0.439767294218,0.670692801633,0.792283175066,0.0509576594797,0.0307948952656,0.0256640307601,0.0209776646172,0.0,1.94559077228,1.99791677878,1.22374708698,0.10104657356,0.0623861876786,0.067090288006,0.0467636936234,0.0,2.15110949755,1.45028996596,0.816988362513,0.136618949363,0.0670359864585,0.0765186354326,0.0359345749079,0.0,-0.980931371026,-1.3478045151,-1.60572888908,-0.00954579892682,-0.00284640389998,0.251642726505,18.5635025868,0.00112724073763,0.0157256085469,0.241379310345,-0.2,0.00219025192896,0.00367333880972,16.87116466,50.0591818,0.00390518253046,0.0237671748434,0.41837160867,0.272719115853,0.0261753557436,0.41837160867,-0.240510456551,1.27971840006,-0.575155522519,0.0209255363489,0.842482558172,0.849420312763,0.913954732936,0.388015448907,0.525939284029,2QZ J101121.1-021240,152.838276,-2.211019,0.135,0.107,90.0,8,"10 11 21.1862 ","-02 12 39.669 ",Seyfert_1,Sy1|EmO|AGN,55145.8276,0.2045,,,,,,,,,,18.4,,17.592,17.324,16.882,19.877,19.505,18.68,18.0,18.117,0.144119
Blind15A_38_S16_0145_0999,0.533333333333,Var,0.0430724788021,NonPer,,,,,,0.025,0.925,0.05,QSO,QSO,Blind15A_38_S16_0145_0999,HiTS101621-013656,154.089749272,-1.6157137589,145.898962004,999.452541062,,,,,0.0449863638161,0.992143387894,3.0,0.178571428571,3.06771667151E-7,0.0128896194701,6.17291065808E7,0.0,28.7639637444,0.186768208954,0.245077625127,0.378048309595,0.508909028017,0.723406598586,0.0578593082309,0.0478649942704,0.0329375608988,0.0261685514239,0.0,2.06364796541,1.56713945278,1.71453391697,0.111227614174,0.0857933092007,0.0759718645185,0.0661313328447,0.0,1.79797387149,1.36324677887,0.716547154118,0.259028116301,0.19276003271,0.18009405339,0.184422771422,0.0,1.70212810764,1.18055308704,0.580724102817,-0.0394059820887,-0.00501922398392,0.580074907384,18.9367409375,0.001294327952,0.0154881988604,0.25,-0.0333333333333,0.00368776510601,0.00422213108596,1.02916073348,60.2608932,0.00390564007896,0.101539060228,0.348044379023,0.659011952745,0.0297682229884,0.348044379023,-1.02366114075,0.201884099995,1.26649601916,0.0245103531153,0.845854082775,0.77321321144,0.149854551629,-0.0382706857651,0.188125237394,LBQS 1013-0121,154.089645,-1.615746,0.128,0.103,90.0,11,"10 16 21.5147 ","-01 36 56.687 ",QSO,QSO|QSO,133917.9067,0.617,,,,,,,,,18.4,18.22,,18.505,18.248,17.923,18.636,18.31,18.309,18.175,18.238,0.394308
