internalID,ID,raMedian,decMedian,X,Y,spCl,spSubCl,Var_Type,Var_subType,Amplitude,AndersonDarling,Autocor_length,Beyond1Std,CAR_mean,CAR_sigma,CAR_tau,Con,Eta_e,FluxPercentileRatioMid20,FluxPercentileRatioMid35,FluxPercentileRatioMid50,FluxPercentileRatioMid65,FluxPercentileRatioMid80,Freq1_harmonics_amplitude_0,Freq1_harmonics_amplitude_1,Freq1_harmonics_amplitude_2,Freq1_harmonics_amplitude_3,Freq1_harmonics_rel_phase_0,Freq1_harmonics_rel_phase_1,Freq1_harmonics_rel_phase_2,Freq1_harmonics_rel_phase_3,Freq2_harmonics_amplitude_0,Freq2_harmonics_amplitude_1,Freq2_harmonics_amplitude_2,Freq2_harmonics_amplitude_3,Freq2_harmonics_rel_phase_0,Freq2_harmonics_rel_phase_1,Freq2_harmonics_rel_phase_2,Freq2_harmonics_rel_phase_3,Freq3_harmonics_amplitude_0,Freq3_harmonics_amplitude_1,Freq3_harmonics_amplitude_2,Freq3_harmonics_amplitude_3,Freq3_harmonics_rel_phase_0,Freq3_harmonics_rel_phase_1,Freq3_harmonics_rel_phase_2,Freq3_harmonics_rel_phase_3,Gskew,LinearTrend,MaxSlope,Mean,Meanvariance,MedianAbsDev,MedianBRP,PairSlopeTrend,PercentAmplitude,PercentDifferenceFluxPercentile,PeriodGLS,PeriodLS,PeriodWMCC,Period_fit,Psi_CS,Psi_eta,Q31,Rcs,Skew,SlottedA_length,SmallKurtosis,Std,StetsonK,StetsonK_AC,g-i,g-r,r-i,SDSS,SDSSo,RAJ2000,DEJ2000,THINGID,Plate,MJD,Fiber,z.v,z.b,e_z.b,f_z.b,z.PCA,e_z.PCA,qCont,zCIV,zCIII,zMgII,Morph,Btarg1,Atarg1,Atarg2,eBtarg0,NspBOSS,f7,Plate7,MJD7,Fiber7,US,alphanu,SNRSpec,SNR1700,SNR3000,SNR5150,FW(CIV),HW(CIV)b,HW(CIV)r,A(CIV),W(CIV),e_W(CIV),FW(CIII),HW(CIII)b,HW(CIII)r,A(CIII),W(CIII),e_W(CIII),FW(MgII),HW(MgII)b,HW(MgII)r,A(MgII),W(MgII),e_W(MgII),BAL-VI,BI(CIVt),e_BI(CIVt),AI(CIVt),e_AI(CIVt),Chi2CIVt,N2t,Vmin2t,Vmax2t,N.45t,Vmin.45t,Vmax.45t,W(SiIVt),W(CIVt),W(AlIIIt),RUN,Ph-MJD,Rerun,Colcam,Field,objID,Fu,Fg,Fr,Fi,Fz,IVFu,IVFg,IVFr,IVFi,IVFz,umag,gmag,rmag,imag_2,zmag,e_umag,e_gmag,e_rmag,e_imag,e_zmag,Fut,Fgt,Frt,Fit,Fzt,iMAG_2a,D(g-i),Extu,Extg,Extr,Exti,Extz,ExtuR,ExtgR,ExtrR,ExtiR,ExtzR,logNHI,Varmatch,Varchi2,VarA,Vargamma,logXct,SNR(X),sepX,NDetX,F0.2-12,e_F0.2-12,F0.2-2,e_F0.2-2,F4.5-12,e_F4.5-12,F0.2-12W,e_F0.2-12W,L0.2-12,L0.5-2,L4.5-12,L0.2-2W,f_F4.5-12,sepXM,GALEX,FFUV,IVFUV,FNUV,IVNUV,Jmag,e_Jmag,SNR(J),f_Jmag,Hmag,e_Hmag,SNR(H),f_Hmag,Kmag,e_Kmag,SNR(K),f_Kmag,Sep2,W1mag,e_W1mag,W1SNR,W1chi2,W2mag,e_W2mag,W2SNR,W2chi2,W3mag,e_W3mag,W3SNR,W3chi2,W4mag,e_W4mag,W4SNR,W4chi2,CCflags,PHflag,sepW,UKIDSS,FY,e_FY,FJ,e_FJ,FH,e_FH,FK,e_FK,FIRST,F1p,SNR(1),sep1,DR12,DR7,Separation
Blind15A_04_N20_1590_3512,HiTS090649-005448,136.708279402,-0.913363306415,1590.54458606,3512.30100402,QSO,BROADLINE,QSO,,0.0978864731629,0.488409824742,1.0,0.346153846154,5149.34089513,-0.534964544159,0.00410252675798,0.0,60.8512691292,0.196911764066,0.249169752086,0.410292383494,0.534676317564,0.689251417636,0.0638032896023,0.0116860745881,0.00909370945815,0.0340093783767,0.0,0.71096738493,-1.00082729295,1.28398079974,0.0369953208615,0.0243222454386,0.0263676106173,0.0197644756086,0.0,-1.12683264707,-1.56168168955,-1.91471410197,0.0362402558144,0.0300477357258,0.0131856128727,0.0222605128682,0.0,-1.47086829524,-1.91167764246,0.0200865263688,0.0476690671513,0.00117138492003,2.92272941168,21.1253088082,0.00252892592754,0.0374202997548,0.384615384615,-0.0333333333333,0.00656303777827,0.00932716431475,0.225467453763,0.0283980271826,0.029205606045,0.48215573403,0.299681853644,0.734987010093,0.0614439558946,0.193470917287,0.313361338384,0.0673810999942,0.156550637929,0.0534243411723,0.830098082272,0.792961122534,,-0.0272010446516,,090649.97-005448.4,090649.97-005448.4,136.708223,-0.913449,75186729,3780,55240,635,2.585,2.566339,5.11E-4,0,2.583396,0.001473,0.06463,2.5705,2.5831,-1.0,0,2199023779840,0,0,0,1,0,,,,0,-0.4753,0.76,0.7,-1.0,-1.0,8004.6,4527.1,3477.5,3.66,34.3,0.756,6548.2,2388.6,4159.6,1.94,24.2,2.5,,,,-1.0,,,0,,,356.3,29.8,25.6,0,,,2,1.7,6056.7,,,,756,51259,301,1,139,1237648720138011317,0.650247,2.30348,2.48448,2.91708,3.77518,12.719465,63.762646,34.100616,13.832573,1.027519,22.92,21.592,21.509,21.334,21.018,0.43,0.059,0.074,0.099,0.264,0.981018,2.57423,2.88342,3.39097,4.22153,-24.72,0.157,0.136,0.100144,0.072633,0.055075,0.039049,0.246652,0.19219,0.132956,0.098801,0.07349,21.858,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,-0.0015,1386.6699,0.0089,1140.9227,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0,0.0,,,,,,,,0,,,,DR12,DR7,0.3693074996833527
Blind15A_04_S25_1754_3760,HiTS090731+002325,136.882571988,0.390481559797,1754.44035582,3760.76270632,QSO,BROADLINE,QSO,,0.0414469252687,0.676941904635,1.0,0.333333333333,33.9574737972,2.90680337439E-9,0.594829573887,0.0,34.4772852693,0.119712454369,0.250812280701,0.285873092416,0.500962104649,0.771459981407,0.0274752738809,0.00276977805365,0.0114645597486,0.00591630855939,0.0,-0.829614880377,-2.94318766609,-2.39792743336,0.010320763297,0.00163872154502,0.00468692103994,0.00486436003335,0.0,0.512181313756,-1.21809744247,0.30740970561,0.00682507685479,0.00261773915826,0.00224191164073,0.00167980957315,0.0,0.916841823598,1.64847999277,0.158979320611,0.00208141498014,4.66682013174E-4,0.760838490029,20.198909669,0.00112331326289,0.00979404772675,0.458333333333,0.1,0.00225281914293,0.00384560149271,0.25553267987,0.523264518261,0.00448732318874,0.500304284841,0.347902647758,0.68214831907,0.0219161774298,0.304769289928,-0.019709173788,0.0673810999942,0.140761753574,0.0226897031271,0.449667663748,0.722257342687,,-0.01352955855,,090731.80+002325.4,090731.80+002325.4,136.882524,0.390396,105314944,3818,55532,850,2.638,2.635546,1.64E-4,0,2.629761,4.63E-4,0.05202,2.6327,2.6321,-1.0,0,3298535559168,0,0,0,0,1,470,51929,546,2,-0.449,1.51,1.23,-1.0,-1.0,2432.5,1148.6,1284.0,15.35,29.7,0.964,2232.4,1269.7,962.7,5.76,16.0,1.53,,,,-1.0,,,0,,,,,,0,,,0,,,,,,6749,54173,301,2,135,1237674460413624798,2.89236,6.18836,6.48134,6.21084,7.80803,14.802789,41.158882,37.502506,25.268257,2.056882,21.344,20.521,20.47,20.516,20.259,0.097,0.027,0.027,0.035,0.095,2.83877,6.75718,6.5951,6.49009,8.56017,-25.6,-0.117,0.179,0.131937,0.095691,0.07256,0.051446,0.291305,0.226983,0.157026,0.116687,0.086794,21.769,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,-0.1121,351.0957,0.0188,60.261,,,,,,,,,,,,,,17.293,0.145,7.5,1.05,17.17,0.465,2.3,0.97,12.492,0.451,2.4,0.89,8.918,,-0.2,0.0,0000,BCCU,0.55,1,2.01045E-31,2.45973E-32,2.69104E-31,3.05471E-32,2.77469E-31,3.49202E-32,3.20694E-31,4.76081E-32,0,,,,DR12,DR7,0.3531528452962437
Blind15A_05_N5_0490_2735,HiTS091457+013935,138.739275529,1.65991717068,490.951528216,2735.18594534,QSO,BROADLINE,QSO,,0.172965330912,0.999342155005,1.0,0.214285714286,3.21048214151E-7,-0.0108818916088,6.6225428408E7,0.0,89.9323657703,0.0941637220932,0.223117091722,0.27670948885,0.506465791609,0.732237340614,0.0854961025289,0.0262012429219,0.0283577732886,0.00983118539605,0.0,0.883528166101,-0.0630539526031,2.26971795493,0.0542605702505,0.00845995941772,0.01561295476,0.0299781842966,0.0,0.796267844129,0.685278738377,-1.39864603204,0.0457165705758,0.00653910609819,0.015712342899,0.0137573709249,0.0,1.04783026246,1.23071746107,2.47540628724,0.109274585657,6.45294761631E-4,3.12935362605,21.2615555218,0.00395943300652,0.0363367353264,0.571428571429,-0.1,0.012291926905,0.0147286624832,1.19900695324,1.2017024352,0.00606832907426,0.992226360759,0.271047063602,1.25465201498,0.081182243001,0.222551722328,0.92090070013,0.134766000003,1.97511657319,0.0841837047028,0.795894709768,0.711320521021,0.490014427775,0.224723745383,0.265290682392,091457.38+013935.7,091457.38+013935.7,138.739111,1.659925,126742628,3822,55544,356,2.253682,2.253682,9.33E-4,0,2.256857,,0.1733,2.2564,2.2595,-1.0,0,2199023779840,0,0,0,0,0,,,,0,-0.0778,5.23,7.17,1.17,-1.0,5902.3,2754.1,3148.2,2.9,35.0,1.17,5333.3,1753.4,3579.9,1.59,40.1,5.16,,,,-1.0,,,0,,,,,,0,,,0,,,,,,6749,54173,301,2,150,1237674460414607935,1.72857,3.13273,4.30567,5.43586,8.02309,16.951895,70.493294,36.059235,24.15926,1.75666,21.899,21.259,20.914,20.661,20.23,0.151,0.041,0.042,0.041,0.1,-1.0,-1.0,-1.0,-1.0,-1.0,-25.08,0.5,0.139,0.102231,0.074147,0.056223,0.039863,0.191647,0.14933,0.103306,0.076767,0.057101,21.769,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,,,,,,,,,,,,,,,,,,17.251,0.148,7.3,0.98,16.184,0.205,5.3,0.9,12.262,0.443,2.4,1.05,8.937,,-1.8,0.0,0000,BBCU,0.91,0,0.0,,,,,,,,0,,,,DR12,DR7,0.592726374086637
Blind15A_05_S4_1526_0200,HiTS091258+014457,138.242633553,1.74940887828,1526.43954988,200.318264355,QSO,BROADLINE,QSO,,0.210238146083,0.126076051008,1.0,0.259259259259,30.7465668156,-0.117150126138,0.702762470302,0.0,109.533338809,0.161045693044,0.292947494033,0.354256401617,0.544118942227,0.805764753048,0.116887058303,0.0457680574749,0.0914879494229,0.0579535070744,0.0,0.0326835063962,-1.01709135698,0.771447282195,0.0917015710474,0.0207544413069,0.00734174406909,0.0127358037838,0.0,-0.420763633212,-1.75537157169,-1.44450033111,0.0817311784991,0.0432489187423,0.0163912086733,0.00797279304042,0.0,1.9690448029,1.09050208689,2.43755120795,0.0141783581806,0.00419009693203,4.51468601741,21.6075332486,0.00510786159446,0.0780005561184,0.259259259259,0.0666666666667,0.0110850108344,0.0184399872197,3.37676705706,3.19601711489,0.00369890873839,0.411408538263,0.296394977037,1.19530374729,0.147116511238,0.363174720909,0.144178330544,0.743657200059,0.0651670999868,0.110368289232,0.814491272694,0.74544143486,-0.147929702837,-0.252376488146,0.104446785309,091258.20+014457.1,091258.20+014457.1,138.242509,1.749203,127819773,3819,55540,14,2.436187,2.436187,5.5E-4,0,2.435253,,0.2403,-1.0,-1.0,-1.0,1,3298535014400,0,0,0,0,0,,,,0,500.0,0.76,0.59,1.21,-1.0,,,,-1.0,,,,,,-1.0,,,,,,-1.0,,,0,,,,,,0,,,0,,,,,,6749,54173,301,3,147,1237674460951282151,1.20351,2.51016,2.86654,2.67804,3.84383,22.171968,93.833389,55.488316,31.952288,2.102254,22.284,21.499,21.355,21.426,21.0,0.187,0.045,0.051,0.071,0.182,-1.0,-1.0,-1.0,-1.0,-1.0,-24.5,0.01,0.142,0.104578,0.075849,0.057514,0.040778,0.297904,0.232125,0.160583,0.11933,0.08876,21.738,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,0,,,,,,,,,,,,,,,,,,17.768,0.217,5.0,0.84,16.491,0.271,4.0,0.85,12.174,,1.4,1.1,8.97,,-0.4,0.0,0000,BBUU,0.82,0,0.0,,,,,,,,0,,,,DR12,DR7,0.8661338120136634
Blind15A_05_S19_0322_2810,HiTS091650+020954,139.210930318,2.16505928249,322.164473685,2810.26096321,QSO,BROADLINE,QSO,,0.0847549535945,0.92996563282,1.0,0.25,20.2037514833,-0.0510974889272,0.999573718752,0.0,115.235948829,0.0936796261996,0.159380347689,0.262358333735,0.54000330718,0.949292466729,0.0428172141483,0.0124770305955,0.00806242798021,0.019595599569,0.0,-1.8677060806,-0.616503417846,0.64564084782,0.0353508666239,0.00520104170064,0.013219722837,0.00269608784851,0.0,1.73952161487,1.03343123884,2.22388710573,0.0187817944462,0.010545875846,0.0150306984271,0.0100377449467,0.0,1.23030805211,1.43930649657,0.971569177042,0.0327490756536,-4.15744343104E-4,1.65675419782,20.1951390029,0.00198703519199,0.0244308598482,0.464285714286,-0.166666666667,0.00519795980458,0.0069210301699,4.77854367562,0.0702914386523,5.5555553348,0.943835099296,0.295282096512,0.66885293531,0.0392431534685,0.306535370188,0.623456474442,0.0673830000014,1.28286016874,0.0401284519057,0.773627413984,0.732286902345,-0.0749060817508,-0.0372697411549,-0.0376363405959,091650.57+020954.5,091650.57+020954.5,139.21071,2.165157,131110599,3822,55544,798,0.802089,0.802089,6.6E-5,0,0.801293,5.18E-4,0.06707,-1.0,-1.0,0.8002,0,2199023386624,0,0,0,0,0,,,,0,500.0,2.14,-1.0,2.56,1.42,,,,-1.0,,,,,,-1.0,,,4932.6,2821.7,2110.9,5.93,33.4,0.676,0,,,,,,0,,,0,,,,,,6574,54057,301,3,154,1237673709332463800,7.65954,10.4176,11.6582,10.8989,13.0568,7.018286,27.589457,23.223827,8.633607,0.697301,20.289,19.956,19.833,19.906,19.707,0.053,0.02,0.019,0.034,0.099,-1.0,-1.0,-1.0,-1.0,-1.0,-23.4,-0.049,0.139,0.102299,0.074196,0.056261,0.03989,0.214692,0.167287,0.115728,0.085999,0.063967,21.738,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,,,,,,,,,,,,,,,,,,15.708,0.048,22.4,1.25,14.666,0.062,17.5,1.01,12.304,0.4,2.7,1.04,8.748,,-0.4,0.0,0000,AACU,0.8,1,4.4593E-31,2.96863E-32,7.10509E-31,4.09408E-32,6.45142E-31,5.87084E-32,7.69391E-31,5.48685E-32,0,,,,DR12,DR7,0.8671401910329575
Blind15A_06_N4_1944_2954,HiTS092301+013312,140.754293205,1.55348021352,1944.78817916,2954.77256065,QSO,BROADLINE,QSO,,0.0436940217499,0.435680329682,1.0,0.346153846154,34.2270083943,4.42783298915E-9,0.595191814044,0.0,182.424886258,0.100907082614,0.325985818125,0.46642791577,0.646805689203,0.803794937386,0.0283182782985,0.0118233220233,0.0139068654754,0.0110365837067,0.0,1.56341196312,0.264473110737,2.60809331168,0.017186892386,0.00490584555146,0.00296082700271,0.00273201697687,0.0,-1.69717739593,0.614489768856,1.08809363708,0.0108626919793,0.00126801570381,0.00426312658081,0.00205620074502,0.0,0.999658747777,2.15840090974,2.21456049473,0.00618183379385,-1.59296453499E-5,0.847958203017,20.3716352155,0.00124202315278,0.0207152941313,0.269230769231,-0.1,0.00250714063879,0.0042430455778,0.266575744436,0.269682463196,0.0562429734902,0.329448558471,0.254537013478,1.04184795911,0.0391593582469,0.192325868289,0.112014433705,0.0674493000042,-0.528946755492,0.0253020425976,0.864606246935,0.823955582315,0.172880955919,0.165613600017,0.00726735590232,092301.03+013312.7,092301.03+013312.7,140.754321,1.553542,125548052,4735,55651,294,2.584223,2.584223,5.82E-4,0,2.604535,0.001471,0.06247,2.5895,2.5971,-1.0,0,2199023927296,0,0,0,0,0,,,,0,-0.0252,0.84,0.72,-1.0,-1.0,4796.6,1670.3,3126.3,5.75,25.3,0.67,5283.8,1856.1,3427.7,3.73,23.5,2.14,,,,-1.0,,,0,,,825.3,26.6,30.5,0,,,2,16665.6,21995.0,,,,1462,51669,301,3,103,1237651753456304466,4.91809,8.3581,10.8895,11.3023,14.5078,7.434118,20.621933,16.224833,5.076763,0.732842,20.77,20.195,19.907,19.867,19.593,0.081,0.029,0.025,0.043,0.087,4.91809,8.3581,10.8895,11.3023,14.5078,-26.2,0.211,0.179,0.131999,0.095737,0.072594,0.05147,0.132544,0.103278,0.071447,0.053093,0.039491,21.858,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,-0.0148,57.3663,0.0143,510.5014,,,,,,,,,,,,,,16.954,0.112,9.7,0.96,16.043,0.178,6.1,0.86,12.404,0.494,2.2,0.79,8.975,0.5,2.2,0.0,0000,BBCC,0.61,1,4.29489E-31,2.4626E-32,4.01864E-31,4.50462E-32,4.04717E-31,3.93303E-32,4.7117E-31,4.7505E-32,0,,,,DR12,DR7,0.24388673719543638
Blind15A_06_N9_1878_1445,HiTS092042+012340,140.176905081,1.39446076126,1878.39399356,1445.28212707,QSO,BROADLINE,QSO,,0.0659169188155,0.990115992965,1.0,0.222222222222,138.972879088,0.0733516036772,0.145488533037,0.0,117.844473102,0.247472976248,0.51140687447,0.566408648965,0.654088979987,0.817184624784,0.0310695937381,0.0142621215581,0.00800690125325,0.00764909306354,0.0,-0.299584885908,0.139742082208,-0.538482066777,0.0272184029591,0.00809524033946,0.00462382905459,7.94531447323E-4,0.0,-0.852758476413,-0.982260027768,-0.681835974524,0.0159278901178,0.00395169199497,0.00596249073252,0.00642373328362,0.0,0.555830165637,0.0356180392987,0.776508654576,-0.0513499110803,7.75260870565E-4,0.840752283702,20.2189603105,0.00158381644185,0.0218427427574,0.259259259259,0.0666666666667,0.00495922242591,0.00375668963517,2.1502171853,0.325136649351,0.00447948385322,0.999759885142,0.303286043664,0.769818686833,0.0420383867807,0.272373581269,-1.06492263288,0.0674493000042,2.53434083958,0.0320231217768,0.798558801352,0.712702526407,-0.207466077817,-0.221328160628,0.0138620828108,092042.47+012339.0,092042.47+012339.0,140.176963,1.394193,125386855,3822,55544,28,2.469,2.476092,1.96E-4,0,2.47523,,0.1341,2.474,2.4814,-1.0,0,3298535555072,0,0,0,0,0,,,,2,-0.2927,8.09,6.82,0.53,-1.0,3889.7,1631.1,2258.6,12.16,70.3,2.83,9169.4,2850.8,6318.5,1.57,29.0,4.49,,,,-1.0,,,0,,,,,,0,,,0,,,,,,1462,51669,301,3,99,1237651753456042359,4.42648,7.71007,7.63707,8.12547,8.56235,8.840635,24.663519,21.053913,11.051871,0.770759,20.884,20.282,20.292,20.225,20.16,0.082,0.028,0.031,0.04,0.142,4.42648,7.71007,7.63707,8.12547,8.56235,-25.74,-0.036,0.162,0.118872,0.086216,0.065375,0.046352,0.174666,0.136099,0.094152,0.069965,0.052041,21.858,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,-0.0324,216.2019,0.0576,30.2881,,,,,,,,,,,,,,16.893,0.114,9.5,0.93,16.126,0.201,5.4,0.84,12.172,,0.6,1.12,8.304,,1.6,0.0,0000,BBUU,0.77,1,4.03999E-31,2.50915E-32,4.23528E-31,4.34524E-32,3.81727E-31,3.92143E-32,4.84024E-31,4.77913E-32,0,,,,DR12,DR7,0.9862207499509728
Blind15A_06_N11_1227_3393,HiTS092346+012628,140.942120223,1.44120144269,1227.6176,3393.84957395,QSO,BROADLINE,QSO,,0.0640131313581,0.810877603694,1.0,0.222222222222,3573.91027488,0.33469270838,0.00580905822277,0.0,144.178239521,0.112891397465,0.1492146988,0.405918095576,0.655762413079,0.943630257292,0.0616211600071,0.013795625327,0.0188809100951,0.00775278531107,0.0,-0.953637520517,-0.0855248139134,0.631554983597,0.0235847735342,0.00629488230588,0.00700961664678,0.00294930485277,0.0,1.19648815629,0.599963780667,0.848231559366,0.0207705055521,1.15516171568E-4,0.00462579397375,0.0126175749354,0.0,-0.24522402571,1.10500974642,-0.557865598257,0.0135533916908,-1.36632434529E-4,0.984925984255,20.7610528697,0.00167432516349,0.0197935665443,0.444444444444,0.0,0.0038063517723,0.00557166325198,1.96247883571,1.9508198961,0.00457896425109,0.597757085381,0.29015422955,0.942765333187,0.040331821551,0.161027388749,0.450697835067,0.0674493000042,0.370902541676,0.0347607532404,0.795546786298,0.766999788048,0.193039691262,0.129174829507,0.0638648617551,092346.10+012628.5,092346.10+012628.5,140.94212,1.44126,125583722,3823,55534,680,2.283,2.280653,5.63E-4,0,2.271195,,0.07428,2.2782,-1.0,2.2714,0,3298535555072,0,0,0,1,0,,,,2,500.0,3.02,4.05,0.68,-1.0,4858.5,1516.7,3341.8,5.11,22.3,0.561,,,,-1.0,,,4922.3,3382.5,1539.9,2.1,56.2,2.83,0,,,,,,0,,,0,,,,,,1462,51669,301,3,104,1237651753456370060,3.68412,5.74895,6.9713,6.68101,9.41958,9.950524,33.384014,21.510853,11.74551,0.742223,21.083,20.601,20.391,20.437,20.058,0.093,0.033,0.034,0.047,0.132,3.68412,5.74895,6.9713,6.68101,9.41958,-25.38,0.05,0.233,0.171357,0.124282,0.09424,0.066817,0.264521,0.206113,0.142588,0.105958,0.078813,21.858,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,0.0946,19.2606,0.9609,22.5557,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,1,2.31985E-31,2.40837E-32,2.55613E-31,4.20569E-32,2.49744E-31,3.80078E-32,2.95494E-31,4.60122E-32,0,,,,DR12,DR7,0.21080784365304098
Blind15A_06_N15_1486_1108,HiTS092036+011531,140.152314781,1.25881190109,1486.17770321,1108.98012016,QSO,,QSO,,0.0867709544584,0.754899832696,1.0,0.32,5826.19375964,0.614497259728,0.00367341137966,0.0,377.678858946,0.29380767561,0.387123090965,0.584859734647,0.739223353834,0.825441061564,0.0518159055218,0.0151742617109,0.0212344583293,0.0294824908301,0.0,0.00815450002934,2.28267268844,-0.131695802167,0.0296572730094,0.0161469269306,0.00257274576157,0.00913510379685,0.0,-0.82428004705,0.614925321444,-0.268218753819,0.0217170573156,0.00771152833624,0.0160963792502,0.0045712288836,0.0,1.69312902024,-0.448589043647,2.11773492615,-0.0781385534989,-0.00166920960863,3.1770625385,21.4020064568,0.00234419813264,0.0392582744031,0.24,-0.0666666666667,0.00717961609112,0.00625335824029,0.191480404601,0.128277653288,0.00780396445109,0.999942311696,0.290334391009,1.37757983599,0.0717712547778,0.165144712761,-0.648806505672,0.0674493000042,1.55927048413,0.0501705435708,0.79875170512,0.824814618189,0.315741559613,-0.0169903134228,0.332731873036,092036.56+011530.7,092036.56+011530.7,140.152343,1.258542,123333432,3822,55544,22,2.077,2.0924,0.001771,0,2.087948,0.002281,0.5687,2.0778,2.0957,-1.0,0,2199023386624,0,0,0,0,0,,,,0,-0.4358,3.96,5.69,3.0,-1.0,7514.3,4361.1,3153.2,1.52,57.3,2.71,14922.8,2062.8,12860.0,0.46,64.6,27.1,,,,-1.0,,,0,,,,,,0,,,0,,,,,,1907,51878,301,2,117,1237653664180797830,1.38437,1.89176,2.23249,2.18882,2.89487,16.804691,66.066803,31.6108,10.923626,0.886138,22.136,21.805,21.625,21.642,21.281,0.188,0.07,0.086,0.148,0.355,1.27553,1.8514,2.2293,2.09713,2.79402,-23.92,0.008,0.156,0.114971,0.083387,0.06323,0.044831,0.2133,0.166202,0.114978,0.085441,0.063552,21.858,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,-0.1196,180.6941,0.1574,121.6193,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,1,8.51348E-32,2.31034E-32,8.51721E-32,4.35207E-32,1.81721E-31,3.78464E-32,1.88635E-31,4.76425E-32,0,,,,DR12,DR7,0.9769376327993816
Blind15A_07_N19_1511_3073,HiTS092132-004437,140.384445764,-0.74372387567,1511.46383567,3073.64133465,QSO,BROADLINE,QSO,,0.195420153021,0.978510858793,1.0,0.307692307692,364.159238849,0.480519590762,0.0578613186479,0.0,146.004397319,0.106628832191,0.243297258402,0.335679887716,0.54447838455,0.978183948625,0.131289928736,0.0354368838908,0.0304653086445,0.0382739314126,0.0,1.13236914244,1.82372895743,1.61817590252,0.0702879413631,0.0409296308283,0.0312037714465,0.0288746466582,0.0,0.349574385034,-0.862140130253,0.786462765671,0.0468020726134,0.0203488821355,0.0085750506578,0.0292562365662,0.0,-1.42589962306,-0.694489090159,1.44585400288,-0.120334127241,0.0012218612063,3.9909626289,21.0707337576,0.00523127483897,0.0590105893533,0.307692307692,-0.1,0.012445169338,0.0166617151052,0.510636699175,0.514429664384,0.00664275237969,0.833237874612,0.280403741183,1.31335147704,0.120811455129,0.215984571544,-0.613998090114,0.0675056999971,-0.110035538028,0.110226799345,0.780098027496,0.644061089234,-0.0970608740124,-0.149151239588,0.0520903655753,092132.27-004437.8,092132.27-004437.8,140.384481,-0.743835,80120219,3781,55243,546,2.248,2.253481,4.24E-4,0,2.244293,6.47E-4,0.07028,2.2466,2.2513,2.2571,0,3298535542784,0,0,0,0,0,,,,2,-0.8973,4.02,4.69,4.35,-1.0,3656.9,2086.3,1570.5,7.34,41.1,1.96,6792.1,2522.6,4269.6,1.55,25.4,2.2,4526.5,1843.0,2683.5,2.42,43.6,2.37,0,,,,,,0,,,0,,,,,,1239,51607,301,2,134,1237650795143758239,2.13538,3.81229,3.14738,3.33298,4.17969,14.519529,34.740288,5.98709,3.661003,1.079749,21.672,21.046,21.254,21.19,20.915,0.132,0.048,0.141,0.169,0.236,1.78098,3.33666,3.17171,3.00199,3.28244,-24.56,-0.249,0.158,0.116329,0.084372,0.063976,0.04536,0.245004,0.190905,0.132068,0.09814,0.072998,21.939,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,,1,0.729,6.2617,1.2532,0.529,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,0,0.0,,,,,,,,0,,,,DR12,DR7,0.4196738999283262
